sensor_id,zone_id,zone_name,x_m,y_m,mounting_location,floor_type,near_equipment_or_area
VB_L01,Z01,cardio_zone,2.0,2.0,floor,reinforced_concrete_with_resilient_flooring,treadmills
VB_L02,Z01,cardio_zone,5.0,4.0,floor,reinforced_concrete_with_resilient_flooring,ellipticals_and_bikes
VB_L03,Z01,cardio_zone,8.0,6.0,floor,reinforced_concrete_with_resilient_flooring,rowing_machines
VB_L04,Z02,free_weight_zone,1.5,1.5,floor,reinforced_concrete_with_rubber_matting,dumbbell_area
VB_L05,Z02,free_weight_zone,4.0,3.0,floor,reinforced_concrete_with_rubber_matting,squat_racks
VB_L06,Z02,free_weight_zone,6.5,4.5,floor,reinforced_concrete_with_rubber_matting,free_weight_walkway
VB_L07,Z03,yoga_studio,1.0,1.0,floor,sprung_floor_over_concrete,studio_front
VB_L08,Z03,yoga_studio,3.5,3.0,floor,sprung_floor_over_concrete,studio_center
VB_L09,Z03,yoga_studio,6.0,5.0,floor,sprung_floor_over_concrete,studio_back
VB_L10,Z04,locker_room,1.0,1.0,floor,tile_over_concrete,locker_room_entrance
VB_L11,Z04,locker_room,3.0,2.5,floor,tile_over_concrete,locker_aisle
VB_L12,Z04,locker_room,5.0,4.0,floor,tile_over_concrete,shower_walkway
VB_L13,Z05,front_desk_lobby,1.0,1.0,floor,tile_over_concrete,front_entry
VB_L14,Z05,front_desk_lobby,3.0,2.0,floor,tile_over_concrete,front_desk_queue
VB_L15,Z05,front_desk_lobby,5.0,3.5,floor,tile_over_concrete,waiting_area
